date,nav,scheme_code,scheme_name,fund_house
2016-09-28,3284.1669,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-29,3284.7643,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-30,3285.5718,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-02,3286.984,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-03,3287.5974,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-04,3288.2173,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-05,3288.8341,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-06,3289.4548,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-07,3290.0718,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-09,3291.3016,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-10,3291.8892,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-12,3293.0718,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-13,3293.6862,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-14,3294.2376,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-16,3295.5288,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-17,3296.1379,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-18,3296.7442,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-19,3297.3496,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-20,3297.9555,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-21,3298.5155,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-23,3299.7659,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-24,3300.377,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-25,3300.9863,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-26,3301.5958,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-27,3302.2025,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-28,3302.8225,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-10-31,3304.6573,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-01,3305.2766,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-02,3305.8902,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-03,3306.5054,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-04,3307.1195,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-06,3308.346,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-07,3308.9568,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-08,3309.568,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-09,3310.1841,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-10,3310.7985,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-11,3311.4206,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-14,3313.2632,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-15,3313.9608,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-16,3314.6059,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-17,3315.2236,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-18,3315.833,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-20,3317.0768,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-21,3317.7077,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-22,3318.3199,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-23,3318.9476,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-24,3319.7674,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-25,3320.2845,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-27,3321.4727,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-28,3321.9533,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-29,3322.5491,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-11-30,3323.183,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-01,3323.7685,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-02,3324.091,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-04,3325.3068,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-05,3325.9363,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-06,3326.5241,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-07,3326.6282,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-08,3327.206,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-09,3327.8721,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-12,3329.6099,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-13,3330.2177,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-14,3330.8499,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-15,3331.4481,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-16,3331.9311,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-18,3333.202,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-12-19,3333.7658,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
